timestamp_s,qw,qx,qy,qz,roll_rad,pitch_rad,yaw_rad,roll_deg,pitch_deg,yaw_deg,gravity_x,gravity_y,gravity_z,user_accel_x,user_accel_y,user_accel_z
40.875,0.9998851892566805,0.009534099222953115,0.011628154764392613,0.001869565167181451,0.019115805381811544,0.02322007676113649,0.003961507282362961,1.0952549703712666,1.330412398382923,0.22697764778973814,-0.2276988300383676,0.18740675271998136,9.802565019005694,-0.04509268196163241,0.004025887280018625,0.4630103009943056
40.979,0.9997578338219401,0.019246111852772165,0.009908983490260316,0.00395890596029173,0.038578383297433974,0.019662047499378093,0.008299012679958091,2.210378543380955,1.1265523383001188,0.47549840068715327,-0.1928132757889208,0.37817125417036607,9.797808864394057,-0.041691708211079204,-0.10059392617036605,0.4486231916059431
41.083,0.9999062092458022,0.010464940239482518,0.0069133851947648295,0.005501167387285464,0.021007500320281307,0.013710764356166688,0.011147277767884625,1.203641106471844,0.7855689315067547,0.638691969159802,-0.13445725328941396,0.20598603998047066,9.803914524228118,-0.03304630671058606,-0.02412503198047064,0.37551610777188316
41.186,0.9997661940870499,0.013492004168224098,0.015273419920203242,0.007228113734633117,0.027214385304624642,0.030349313141107753,0.014872382421835058,1.5592694199978412,1.7388875541064017,0.8521247440757027,-0.2975900249883972,0.2667356438812108,9.798854079600874,0.03915596098839719,-0.013087395881210773,0.4954361363991264
41.29,0.9997951307495158,0.018004388220584897,0.002855855130629328,0.008796739500189247,0.036059982637123476,0.00539380643514824,0.01769389109235873,2.0660848144222035,0.3090423442444981,1.0137852827562772,-0.05289680321954198,0.35355847052494505,9.800481995092344,-0.14810746878045802,-0.07598114252494503,0.4411642449076556
41.393,0.9998160287666741,0.012646589468189917,0.010156151629314408,0.010238407109627588,0.025504382416805468,0.02005094803801153,0.020735582163676377,1.4612934715706196,1.1488346978141792,1.1880613437254042,-0.19662647148938608,0.2500440906611359,9.801839877463571,-0.02352106451061392,0.013175789338864097,0.4637354425364286
41.497,0.9996444141677956,0.021302294324078798,0.010138699642981306,0.012428364703550939,0.04286292759666307,0.01974196592878,0.025287467934825582,2.4558648488636186,1.1311313270101624,1.448865187237906,-0.19359688371507544,0.42014613911922155,9.796083220777529,-0.016979020284924595,-0.10428228311922155,0.45513465122247077
41.6,0.9997859277475282,0.013283393572344477,0.007604864743669967,0.01392178743722396,0.026778994215310062,0.014837160715514358,0.02804641453358309,1.5343233481425123,0.8501066889562774,1.6069411832486844,-0.14550269647355282,0.2625613061513943,9.802404782798504,-0.041144127526447194,-0.06155703415139427,0.4727421692014957
41.704,0.9996054948451989,0.017022082639584258,0.015947946429000867,0.015645011428381452,0.034553603336049836,0.03135582626759754,0.031841642918730824,1.9797756381248173,1.7965565082787838,1.8243917520059003,-0.30745620122696465,0.3386332218538385,9.796328252227157,0.06337958522696463,-0.056270077853838474,0.4166030917728438
41.807,0.9997686916393433,0.010798369167022905,0.005810252589936053,0.01766916539990945,0.021800170259902038,0.011236457365377336,0.03546531182472573,1.2490577485590018,0.6438015837148097,2.032012686672197,-0.11019361854425908,0.2137638405405987,9.804050764194843,-0.10516810145574093,0.07817093545940132,0.456738739805159
41.911,0.9995861213642928,0.015511108211042927,0.014511498253494464,0.019401234919280433,0.031590461455326596,0.02841293798330044,0.03926251896091915,1.8100001142609183,1.6279414300100639,2.249576629513038,-0.2786081927690365,0.3096311050478855,9.798150593541049,0.10631881676903646,-0.06555448904788547,0.4530672784589509
42.014,0.9994363046089019,0.024329649991083623,0.00826867429916294,0.021604864876872996,0.04901464977740577,0.015477366893620368,0.04360676050296546,2.8083325665571905,0.8867878009799526,2.498483335057696,-0.15178047714900642,0.48043667388802025,9.794048820030449,-0.08272450685099358,-0.06407068188802023,0.40931089196955206
42.118,0.9995857423982546,0.01506511487298191,0.0071827823643091605,0.023447676761270398,0.030462137036125804,0.01365355400731535,0.04711416375562549,1.7453518871191631,0.7822910199731019,2.699442738485573,-0.13389624391329433,0.2986681365478024,9.801536519346188,-0.033607316086705696,0.007624087452197614,0.47839624865381225
42.221,0.9996040151477749,0.006068839534546081,0.010537005431380057,0.025376240929070967,0.012670720951004969,0.02075914817212358,0.05089320738546334,0.7259788338805734,1.1894115765493987,2.91596598907108,-0.20357034421243406,0.12423166227190517,9.80409988775341,0.02170933621243404,0.10070168972809486,0.4088314562465918
42.325,0.9994630773041813,0.014923347442024143,0.009657456476071873,0.02752425005688238,0.030372154902703827,0.018484086975730025,0.05534488575139805,1.7401962906425008,1.0590601718620642,3.171028371188834,-0.18126311878889476,0.29776305658496816,9.800802510197832,-0.02931278521110528,0.09945967141503187,0.4312720978021698
42.428,0.9995405037610454,0.0048611699363589,0.006149895539656505,0.029280183619926275,0.010078910118868337,0.012009756175817506,0.058631062107187014,0.5774790119028547,0.6881083418555186,3.3593124071112226,-0.11777684752618378,0.09883506991538218,9.805794676778707,-0.05451252847381624,0.13566991408461782,0.44542319522129326
42.532,0.9993301560448807,0.016260346906899106,0.009936056780225537,0.031242840995046046,0.033131713629000734,0.018843878677319473,0.06281940844792665,1.8983073589778106,1.07967471786697,3.599286975574666,-0.18479098144281011,0.32480559721594204,9.799877683787416,-0.02578492255718992,-0.08072898121594202,0.42262529221258305
42.635,0.9993165018076189,0.00665178712952631,0.01469475788785727,0.03326179540529817,0.014278489450198996,0.028930963033087464,0.06675108703443183,0.8180971833184737,1.6576220790449145,3.8245555649833745,-0.28368637632180976,0.13996579184414834,9.801896786694035,0.025252312321809744,0.10889664015585165,0.434963637305966
42.739,0.9993765539969829,0.004096137903572892,0.003713314898428674,0.03487027771405702,0.008446452518060914,0.00713639333537231,0.06978590197772004,0.48394608114253707,0.40888521906212205,3.998437652837023,-0.06998601539388682,0.08283126564759753,9.80640045781736,-0.15016152060611318,0.022456686352402486,0.48788975818264113
42.842,0.9992035007243891,0.008528190893574542,0.012601323628706376,0.03688957499095136,0.0179788998843809,0.024555838435282508,0.07402520247067115,1.0301150836632693,1.406945904746819,4.241331679170852,-0.24079490637759549,0.17625641868572392,9.802458900089032,-0.06071150162240452,-0.04703938668572391,0.4104724439109688
42.946,0.9990825038703356,-0.005612111115708832,0.015679288592803584,0.0394564896845826,-0.009981829963997357,0.03177802241842329,0.0787858066410676,-0.571916728754271,1.820746565847768,4.514094206066947,-0.3115946160863177,-0.09784075817512053,9.801560334011404,0.024445656086317713,0.18398544617512053,0.459229169988598
