timestamp_s,ax_mps2,ay_mps2,az_mps2,gx_rads,gy_rads,gz_rads
40.875,-0.272791512,0.19143264,10.26557532,0.003665191429188092,-0.0317649923862968,0.03665191429188092
40.979,-0.234504984,0.277577328,10.246432056,-0.013439035240356337,-0.024434609527920613,0.03787364476827695
41.083,-0.16750356000000002,0.18186100800000002,10.179430632,0.028099800957108706,-0.025656340004316644,0.0317649923862968
41.186,-0.258434064,0.253648248,10.294290216,-0.0012217304763960308,-0.028099800957108706,0.035430183815484885
41.29,-0.201004272,0.277577328,10.24164624,0.08674286382411818,-0.039095375244672985,0.029321531433504737
41.393,-0.220147536,0.26321988,10.26557532,0.006108652381980153,-0.024434609527920613,0.0317649923862968
41.497,-0.21057590400000004,0.315863856,10.251217872,-0.03298672286269283,-0.019547687622336492,0.040317105721069016
41.6,-0.18664682400000002,0.201004272,10.275146952,0.04276056667386108,-0.03298672286269283,0.0317649923862968
41.704,-0.24407661600000002,0.282363144,10.212931344000001,0.05497787143782138,-0.039095375244672985,0.03665191429188092
41.807,-0.21536172,0.291934776,10.260789504000002,-0.023212879051524585,-0.02199114857512855,0.03787364476827695
41.911,-0.17228937600000002,0.24407661600000002,10.251217872,0.025656340004316644,-0.02199114857512855,0.035430183815484885
42.014,-0.234504984,0.416365992,10.203359712000001,-0.003665191429188092,-0.02199114857512855,0.039095375244672985
42.118,-0.16750356000000002,0.306292224,10.279932768,0.02076941809873252,-0.024434609527920613,0.03787364476827695
42.221,-0.18186100800000002,0.22493335200000003,10.212931344000001,0.006108652381980153,-0.01832595714594046,0.040317105721069016
42.325,-0.21057590400000004,0.397222728,10.232074608000001,-0.030543261909900768,-0.019547687622336492,0.039095375244672985
42.428,-0.17228937600000002,0.234504984,10.251217872,-0.0024434609527920616,-0.01832595714594046,0.035430183815484885
42.532,-0.21057590400000004,0.24407661600000002,10.222502976,0.05131268000863329,-0.039095375244672985,0.03787364476827695
42.635,-0.258434064,0.248862432,10.236860424000001,-0.02199114857512855,-0.01832595714594046,0.04276056667386108
